user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
1,Olivia Mehta,19,Beginner,"['Deep Learning', 'Digital Logic', 'Graph Theory', 'Natural Language Processing', 'Data Structures', 'Mobile Computing']","['Graph Theory', 'Mobile Computing', 'Deep Learning']","['Natural Language Processing', 'Digital Logic', 'Data Structures']",Problem-Solving,Solo,"['Morning', 'Evening', 'Night']"
2,Lucas Bross,21,Beginner,"['Image Processing', 'Database Management', 'Digital Logic', 'Game Development', 'Computer Networks', 'Machine Learning', 'Signal Processing', 'Computer Vision', 'Wireless Networks', 'Operating System Internals']",['Image Processing'],"['Database Management', 'Operating System Internals', 'Machine Learning']",Text-based,Group,['Morning']
3,Leo Verma,23,Beginner,"['Pattern Recognition', 'Compiler Design', 'Mobile Computing', 'Speech Recognition', 'Computer Networks', 'Cloud Computing', 'Computer Vision', 'Theory of Computation', 'Cryptography', 'Artificial Intelligence']",['Compiler Design'],"['Artificial Intelligence', 'Theory of Computation', 'Pattern Recognition']",Auditory,Solo,['Night']
4,Saanvi Wang,19,Beginner,"['Computer Vision', 'Machine Learning', 'Blockchains', 'Embedded Systems', 'Database Management', 'Cloud Computing', 'Theory of Computation', 'Natural Language Processing', 'Data Structures']",['Natural Language Processing'],"['Cloud Computing', 'Data Structures', 'Embedded Systems']",Visual,Group,"['Night', 'Afternoon']"
5,Mira Lee,24,Beginner,"['Mobile Computing', 'Algorithms', 'Pattern Recognition', 'Human-Computer Interaction', 'Wireless Networks', 'Cloud Computing', 'Computer Architecture', 'Neural Networks']","['Computer Architecture', 'Cloud Computing', 'Algorithms']","['Pattern Recognition', 'Mobile Computing', 'Wireless Networks']",Auditory,Solo,"['Morning', 'Evening', 'Night']"
6,Noah Wang,22,Beginner,"['Graph Theory', 'Database Management', 'Signal Processing', 'Cryptography', 'Virtual Reality', 'Network Security', 'Ethical Hacking']",['Database Management'],"['Graph Theory', 'Ethical Hacking', 'Signal Processing']",Visual,Group,['Morning']
7,Nina Patel,20,Beginner,"['Computer Vision', 'Web Development', 'Neural Networks', 'Deep Learning', 'Augmented Reality', 'Graph Theory', 'Natural Language Processing']","['Natural Language Processing', 'Web Development']","['Neural Networks', 'Computer Vision', 'Deep Learning']",Visual,Group,"['Evening', 'Afternoon', 'Morning']"
8,Riya Singh,25,Beginner,"['Neural Networks', 'Computer Architecture', 'Theory of Computation', 'Virtual Reality', 'Linear Algebra', 'Natural Language Processing']","['Neural Networks', 'Linear Algebra', 'Theory of Computation', 'Computer Architecture']","['Natural Language Processing', 'Virtual Reality']",Text-based,Solo,['Afternoon']
9,Lucas Davis,21,Beginner,"['Graph Theory', 'Game Development', 'Human-Computer Interaction', 'Wireless Networks', 'Internet of Things', 'Deep Learning', 'Computer Architecture', 'Big Data', 'Machine Learning', 'Operating System Internals']",['Operating System Internals'],"['Graph Theory', 'Wireless Networks', 'Game Development']",Visual,Group,"['Morning', 'Evening']"
10,Isaac Davis,23,Beginner,"['Network Security', 'Programming Languages', 'Virtual Reality', 'Artificial Intelligence', 'Ethical Hacking', 'Data Mining', 'Big Data']","['Data Mining', 'Big Data', 'Virtual Reality', 'Programming Languages', 'Network Security']","['Ethical Hacking', 'Artificial Intelligence']",Problem-Solving,Group,"['Night', 'Evening', 'Afternoon']"
